Network,d,a,cc,Cd,Gd,Gr,Bd
variant_154,0.3526315789473684,0.19101652620179854,0.5974028515573153,0.031238244328646303,0.6483817524053108,0.6328843614297444,0.3609915001203193
variant_155,0.32631578947368434,0.17835114647582284,0.4742926549655603,0.07251099448559684,0.554403145031034,0.5411519974397325,0.40283910737041767
variant_156,0.17894736842105274,0.31649324356137293,0.048367042383155416,0.026932584929387104,0.9944347901018253,1.0000000000000002,0.610108697603984
variant_157,0.43157894736842106,0.1341871086209332,0.7436239736655249,0.13410858718514307,0.5652527592669723,0.5783260787282363,0.14849716846033678
variant_158,0.10526315789473673,0.10494844390037195,0.0029714569694319157,0.0261375806194879,0.599750104123282,0.5854150895786021,0.4236340141564929
variant_159,0.2999999999999998,0.21710061678986775,0.40951912131333845,0.06199716423905377,0.5730261261777478,0.5593298586877282,0.36422314315583043
variant_15,0.12631578947368416,0.16568576674984697,0.23335512656893082,0.07011955873577724,0.9826522355773202,0.98914518769988,0.5754454034304801
variant_160,0.28421052631578947,0.08818682612175716,0.4832174051448863,0.046022288250567644,0.5843846055878923,0.5704168517464232,0.4143148357221041
variant_161,0.32105263157894726,0.211403550072979,0.410161675047371,0.03875339037747949,0.6432961147383431,0.6556410544995384,0.429459484397333
variant_162,0.2999999999999998,0.13164461603653654,0.47582652788190066,0.1294841223507479,0.7161902937431102,0.7270206287004899,0.3743885013118374
variant_164,0.18421052631578938,0.1965723433306653,0.33841056101302636,0.13693832030168762,0.7496876301541024,0.7610396164521829,0.719956026152867
variant_165,0.5,0.17632656904750693,0.6747811789891929,0.27778924058445753,0.28102576307490934,0.27430878483111654,0.2790471231019747
variant_166,0.20000000000000018,0.23447431611657793,0.2526901636379046,0.04132794519404248,0.6772178259058728,0.6901143267532368,0.3908420457630665
variant_167,0.03157894736842071,0.07396770092753896,0.004229557643833303,0.3883699866561652,0.7873783477068041,0.768558709345853,0.685038116152745
variant_168,0.07894736842105265,0.24153679551767976,0.12132088008106742,0.021814284224868974,0.9026576005316138,0.9116688923100476,0.6541642856167684
variant_169,0.2684210526315791,0.16549743396581762,0.3646431685285033,0.042952334792143,0.6538647704828464,0.6382363263513908,0.3826940850027121
variant_16,0.23684210526315752,0.20650689768821512,0.30771282881406387,0.027376188850700256,0.6780332756088472,0.6618271644288618,0.24008806950547706
variant_170,0.3947368421052633,0.2023635764395687,0.5149976788256652,0.04797307388941352,0.4524847320217238,0.4416696022365296,0.11048171298643494
variant_171,0.6052631578947367,0.3118320071566458,0.7806685753892552,0.3300756537799745,0.22449361695623793,0.21912785004410074,0.09460800160522598
variant_174,0.16842105263157858,0.21041480295682474,0.14589071143282958,0.2457679009044642,0.7023696836274931,0.715042716556721,0.43720689424560294
variant_175,0.17894736842105274,0.15542163002024578,0.297321873702302,0.028026078641798957,0.7540177225006821,0.7653292959878879,0.6154433198259401
variant_176,0.24736842105263124,0.0868684966335515,0.4519323693721765,0.032936530704783085,0.75760885794441,0.7680351426798517,0.46618573455502327
variant_177,0.5105263157894733,0.19370026837421728,0.7055067208703132,0.052816103514427226,0.4074772766249357,0.4235650354009888,0.2721851802689484
variant_178,0.21578947368421053,0.10541927586044542,0.16096836655993269,0.06832058520889994,0.48724920879569833,0.5045010294266552,0.4337943363955082
variant_179,0.3789473684210525,0.18484862752483638,0.4909206030283416,0.28503750987058707,0.5460473806564663,0.560109297857774,0.1868457432204873
variant_17,0.5,0.1871557041291963,0.7008644020727396,0.050339556811327846,0.4138275718450646,0.4298619372048593,0.17532174473677692
variant_180,0.6736842105263157,0.2665850557935873,0.8384611300174654,0.08466139326853162,0.314868804664723,0.3317352174278745,0.1565893266986827
variant_181,0.831578947368421,0.21936061019822023,0.899086929396961,0.06528970104400589,0.2582597387143113,0.2520869059205817,0.2768581134936183
variant_182,0.3631578947368421,0.19694900889872402,0.392227196849939,0.058570898823704365,0.445125152428973,0.4617622830824406,0.1252353691935164
