Network,S,Sp,N,Np
variant_237,96.6610707771568,66.3234775615991,29.601565196783053,40.729119976094424
variant_238,96.53028570054617,64.99924546029457,28.926902528117385,38.59809785828735
variant_239,96.28201736200933,64.57086202494432,27.248746760640298,37.4442933172589
variant_23,96.60597178786676,64.63506783173513,27.38720845762686,37.38646140847103
variant_240,96.40591651275254,64.588125512669,28.00558483644776,37.68953152289835
variant_241,96.84948078831057,63.58910869175884,27.95213218133201,36.46179487575799
variant_242,96.64953156403709,64.54635256226977,28.52748883290314,38.09487009072784
variant_243,96.89083061616213,65.87280849805163,28.7544372143825,38.85415539652854
variant_244,96.70813174600625,66.13334709492655,29.30673838338563,39.84566994853089
variant_245,96.50311976852183,65.38816348166446,29.48203733184954,39.37361216299066
variant_246,96.17900028357197,65.28943101570628,26.41630215819925,37.340994451228
variant_247,96.65056525390165,65.38028523890485,30.53653585578345,40.436611591111664
variant_248,96.49297105905003,64.55723080448509,28.367646073870283,37.64445097039109
variant_249,96.5595357822376,64.97124411209465,27.31057151836453,37.523763891250255
variant_24,96.26316247662656,64.35996879200297,25.553331581631866,36.055168292142596
variant_250,96.54335626670883,65.30224869157124,28.46605047991468,39.132753211023356
variant_252,96.17920968502777,63.50352990811971,26.141697192640795,35.08155715956455
variant_253,96.66876874887649,64.62766655324225,27.88412494783536,37.01242162423942
variant_254,96.64109463322247,64.06030570371435,28.10244362354905,37.81240822887525
variant_255,96.3552427266132,64.58906976330182,27.567144262920085,36.084148647325826
variant_256,96.74725242279135,67.07669333824752,29.94997346687481,42.065049949252185
variant_257,96.82850728964678,65.65782258851172,29.21709248468549,39.70205618840065
variant_258,96.61355554235942,65.56603585601204,28.67870188617032,38.646140847102224
variant_259,96.37367644219425,65.5931581714205,28.474036177787394,39.23141522022494
variant_25,96.40945430021591,64.3530800034744,27.196066914996113,36.721845262935545
variant_260,96.48643460470734,65.14307427071574,29.100398254481004,38.86935398280241
variant_261,95.88948506056697,66.5731141345109,27.384890029212198,41.74008356646419
variant_262,96.60991685421845,65.88663543223812,28.02838271585857,39.4666069027342
variant_263,96.40345987022468,64.50251230320985,27.256474855355826,36.86146617412943
variant_264,96.38790077449045,66.11836470661453,30.012442232492003,40.93636171604919
variant_265,96.73779116332923,65.27279625692847,28.44260859261091,38.3724374925939
variant_266,96.55027577270218,64.68539916715217,26.953147137771325,36.91697965450264
variant_267,96.51974362240635,64.33223141785497,26.364395122026615,36.21617026538277
variant_268,96.7695307645281,64.26896492145194,27.457276516380986,36.21050299592472
variant_269,96.33116645800938,64.09867122310443,27.42224248700392,36.656671664167916
variant_26,96.51695590183935,65.43572144671299,27.30438904259211,38.447528812913134
variant_270,96.50602138553522,64.64157641222091,29.667898009758005,39.00124679928077
variant_272,96.41262144434694,67.23082801426013,30.82286176499379,43.12959499631627
variant_273,95.87929817080358,65.1570222390325,27.696074643090828,39.28757270849112
variant_274,96.37998091154647,64.98789758533648,28.518343920823092,38.01372509621478
variant_275,96.70490951916356,65.26936891985343,28.968376636424054,38.58985455725746
variant_276,96.55634379795856,64.59272531045508,28.501857318763296,37.7492954553651
variant_277,96.37446240477134,63.75741778539195,27.2438523006538,36.64945877576676
variant_278,96.29505876618842,65.91522491237764,27.17571626557855,39.58175551399558
variant_279,96.79494882483029,65.14733365375264,29.165056646934264,38.837926397625935
variant_27,96.76767402505712,66.09852892844224,30.902847545299515,41.471274671942375
