Network,S,Sp,N,Np,Overall
variant_132,0.7709144236440153,0.42330039529401375,0.9027306635558485,0.4846767219928543,0.716458299676241
variant_133,0.6676641181820102,0.4527685410023512,0.6845999171130788,0.48759590004548015,0.6108240114994439
variant_134,0.6141243600440944,0.17626767212229844,0.2527590600009213,0.13546228367609547,0.20362419814948463
variant_135,0.6942356136407,0.43684258607815174,0.5894181031174686,0.4288603813554168,0.5584546612131533
variant_136,0.6347772129901657,0.11355900975548394,0.19708667822990433,0.08850699414875551,0.15073884110430347
variant_138,0.9476019378364313,0.512689869215917,0.6856743771968867,0.43212116535037115,0.7151662236086802
variant_139,0.8151831209122022,0.30488880984377253,0.6637707409169749,0.32986711994669715,0.5454248486052697
variant_13,0.5912649368634391,0.2484929058830918,0.17524443966906667,0.16931232705228583,0.2057081387232787
variant_140,0.7252994188498789,0.3462266884463272,0.41569325699550275,0.3409434338343189,0.4410504263904295
variant_141,0.6915008091170094,0.295845811257351,0.4059003208030818,0.2397142062576303,0.3696994404914768
variant_142,0.7057404135211982,0.253941835978134,0.5929791708238041,0.2935016146315408,0.44762995396918
variant_143,0.6681513439348592,0.5446680571195568,0.4294156472087063,0.4483319200681426,0.5369655796786683
variant_144,0.6122925877855749,0.22348263489616826,0.3860228092526361,0.22299621847397688,0.30091982941298806
variant_145,0.6612772477745494,0.28246591609435256,0.5782897665351729,0.34896599763142877,0.4567080813862658
variant_146,0.8817017025234932,0.3230440020314518,0.8667516001780533,0.4368518900668601,0.6896752193977902
variant_147,0.6430089847230676,0.38394005993516167,0.469293465747747,0.3541418452424665,0.4491729501079405
variant_148,0.5603061199201278,0.5326129983135033,0.755207294049026,0.5120569558552477,0.6355169795906841
variant_149,0.7245485350208014,0.16240778737567219,0.5593025219113108,0.32392524688922464,0.41985778849065375
variant_14,0.6247982763643023,0.2550613493801208,0.4180417197501112,0.24654632510420083,0.3373455960682267
variant_150,0.7283378403223111,0.29283512742256335,0.42933890005986264,0.23973490964807453,0.3906387417993305
variant_151,0.7160181835619,0.25486128697119703,0.42731277533039647,0.18979833189677686,0.35326159546620745
variant_152,0.690726125128748,0.21041288572578232,0.6309383106417594,0.382029312170741,0.472465003962299
variant_153,0.6796510486428105,0.16001003125804658,0.25437075012663257,0.12703600376532487,0.21914234269269584
variant_154,0.6325779634787523,0.21431383666624626,0.45437382001258664,0.2717837580556237,0.34780022096234314
variant_155,0.6993554684627554,0.2691877473579982,0.5443214784570753,0.3238113782417815,0.4441622367622184
variant_156,0.6263346692656597,0.2868981061161193,0.2291362875869165,0.216246913189182,0.26941955874889945
variant_157,0.690656429745836,0.357811628116961,0.41745844141890087,0.2454697488011055,0.3983693914908127
variant_158,0.8665955614430985,0.3154167544347839,0.5771999570215964,0.34247548472718536,0.5410305006329359
variant_159,0.703144567809872,0.5638222426835,0.5563861302552615,0.44094080967958016,0.6004669749578231
variant_15,0.9375030036843413,0.36861402061987647,0.5125328094061303,0.3508914129427354,0.5658326133280982
variant_160,0.7981098418871468,0.40495720113639777,0.5037529355784427,0.3166997636242148,0.5124581758352444
variant_161,0.6391006010714761,0.3794606428653129,0.5398547943943881,0.40129381697902655,0.4891340987824056
variant_162,0.6883967145643055,0.22033646634615955,0.3272037943790389,0.1598198225336418,0.28299543904260466
variant_164,0.9480382574399115,0.492145994109741,0.5736849376045683,0.38685320214423013,0.6503349857891301
variant_165,0.5661385134665551,0.21381261203491775,0.5299083639042808,0.3299809885941394,0.3722140043611331
variant_166,0.6418301471518575,0.16114256884202582,0.19581267555910298,0.1300897538558381,0.1854436563056272
variant_167,0.88690830718852,0.6763682641999385,0.8793227831586052,0.6553347694240115,0.9051829562362046
variant_168,0.8729279877572012,0.670304745486419,0.6943928533054997,0.632012400088672,0.8217351246323543
variant_169,0.649046693493581,0.1263888367371102,0.2558289459546579,0.1804300477207974,0.21571616827673762
variant_16,0.707078982764294,0.14473196431212187,0.30815515203610255,0.09808231222917607,0.2326596498357728
variant_170,0.6456313387083981,0.39762160519031475,0.3794072050223338,0.2850546313303264,0.3970237247999931
variant_171,0.6383962403592989,0.33471481645708145,0.46065173678797855,0.254206579568538,0.3898062947370888
variant_174,0.7291645602774537,0.27381728374391656,0.6106617139173274,0.40040357118992764,0.5089957036627037
variant_175,0.8589134047187414,0.6170528326909874,0.8188920781592963,0.5965474922578373,0.8296917966031834
variant_176,0.7015270002065535,0.2196862527975103,0.2650846521051746,0.12811258006842152,0.2532613687314421
variant_177,0.612463800491696,0.37226444931353697,0.4033216166019433,0.28603804237642416,0.38473227939760996
variant_178,0.8167560924200288,0.6909301972701556,0.832000491181752,0.6294141245879312,0.8580912583700668
variant_179,0.6889316517054169,0.2978468389434674,0.5000076747148845,0.33742385745881265,0.43960559017137285
variant_17,0.5811137490619203,0.25838754235847894,0.2429968226680379,0.16405366587947157,0.22845734939347195
variant_180,0.4497681499475519,0.1596207896569659,0.5873766289582343,0.2786676353783055,0.31211911760410854
variant_181,0.6148063723214108,0.46335707735799225,0.44468832982854734,0.30682424638235384,0.44160354821336795
variant_182,0.6225658062533199,0.3163018476810784,0.40657569571290475,0.2598482534645701,0.3595855441189472
variant_183,0.8864652291528046,0.4022103768106948,0.7100953199588633,0.4077739781880467,0.6524632568773714
variant_184,0.5387305378656961,0.14414244236155938,0.44232451764416947,0.17731418745895233,0.2489120658586808
variant_185,0.8318732843954209,0.19798737691030155,0.6879153939431144,0.36988677367524536,0.5359040455719792
variant_186,0.6914685360617341,0.19549666052173897,0.43825691875546813,0.20677511206098265,0.33279465403484937
variant_188,0.6933954964896785,0.3265894505827944,0.4095841839475658,0.23270610859228436,0.38041445939718793
variant_189,0.7572411390807119,0.17622839452221228,0.3785783358148245,0.18458107750484976,0.3198666809737856
variant_18,0.6943744825453848,0.24854671726267163,0.6241692121137694,0.3636032946754453,0.4785279855127175
variant_190,0.8616248725486315,0.5202779545116378,0.7117070100845755,0.5865270512828671,0.7524678303325221
variant_191,0.7528179208477468,0.3882266442475135,0.5149273204500453,0.3440075356200536,0.5038536117338464
variant_192,0.6332053691462391,0.3096255607250331,0.46966185206219624,0.26601786381692705,0.3863488981189966
variant_193,0.48496274853273036,0.21152986464903023,0.34947581697339913,0.3091016193312113,0.26812343567288127
variant_194,0.7011210871267579,0.36368076312010444,0.3683863144484185,0.24166032495938072,0.3850102903407245
variant_195,0.8357404344667714,0.24236325928216473,0.5286036623739427,0.26534500362749336,0.45709313648783395
variant_196,0.8200289312328906,0.4939364627781426,0.5761715452270946,0.39494822780789374,0.6080667471352885
variant_198,0.9429098773815383,0.3617833838779383,0.7246005310902697,0.40654212645661936,0.6631698403982556
variant_199,0.6695112321651422,0.21427020782726913,0.36628344257010825,0.12064900781330401,0.2738416428025739
variant_1,0.6323898810522621,0.7046302936640547,0.4157393052848093,0.487647658521591,0.591735833068346
variant_200,0.596506478236627,0.669649641249281,0.6127031880765625,0.6365360909007203,0.6922507794734556
variant_201,0.9209515443608751,0.8533246570605453,0.8382016608083003,0.7448562297045309,1.0
